"prix";"surface";"nb_pieces";"nb_chambres";"description";"transaction";"type_bien";"source";"ville";"code_postal"
"599000";"90.0";"3";"2";"**Duplex 90 m² avec cour arborée privée – rénovation architecte**, La Villette.  À deux pas du  Parc de la Villette et de la Cité des Sciences, ce duplex rénové par architecte en 2015 offre un rare...";"ventes";"appartements";"Pap";"Paris";"75019"
"570000";"45.0";"2";"1";"À deux pas de la prestigieuse place des Vosges et du Jardin des Archives Nationales.  Découvrez cet appartement de 45m² qui combine élégance et modernité. Niché en étage d’une belle copropriété en...";"ventes";"appartements";"Pap";"Paris";"75003"
"675000";"52.0";"2";"1";"Situé au 5ᵉ étage sur 6 avec ascenseur d'une **charmante copropriété ancienne bien entretenue, appartement de 2 pièces (ancien 3 pièces)** d'une surface de 51,9 m² Carrez, bénéficiant d'une triple...";"ventes";"appartements";"Pap";"Paris";"75010"
"158000";"15.0";"2";"1";"Studio 14 m². Villa Chanez 75016.  **Cocon ensoleillé**.  Ici pas d'ascenseur mais une vraie montée vers la lumière, au 8e étage se cache ce charmant studio  deux- pièces **Entièrement équipé et...";"ventes";"appartements";"Pap";"Paris";"75016"
"665000";"45.0";"3";"2";"**Coeur de Marais**. Découvrez cet appartement de 44.61m² qui combine élégance et modernité. Niché au troisième étage par escalier d'un bel immeuble ancien, ce bien rénové par une architecte offre un...";"ventes";"appartements";"Pap";"Paris";"75004"
"515000";"47.0";"3";"2";"Idéalement situé à deux pas de la rue de Passy. Cet appartement de 47m2 m² combine élégance et modernité. Niché au sixième étage d’un bel immeuble en pierre de taille, ce bien rénové par une...";"ventes";"appartements";"Pap";"Paris";"75016"
"190000";"22.0";"1";"";"**Studio lumineux de 22 m² – Quartier Clignancourt / Jules Joffrin**  Situé dans une rue calme à proximité immédiate des métros Clignancourt (ligne 4) et Jules Joffrin (ligne 12), ainsi que du...";"ventes";"appartements";"Pap";"Paris";"75018"
"685000";"83.0";"4";"2";"Au pied du métro porte d'Orléans et du Tramway T3a, à proximité immédiate des écoles et des commerces, à deux pas du square Serment de Koufra et à 10 minutes à pied du parc Montsouris.  Niché au 4...";"ventes";"appartements";"Pap";"Paris";"75014"
"1480000";"125.0";"5";"3";"Au 3ème étage sur cinq d'un immeuble haussmannien de bon standing dans le quartier de la Plaine Monceau. Immeuble en pierre de taille avec ascenseur, gardienné et bien entretenu.  Une galerie...";"ventes";"appartements";"Pap";"Paris";"75017"
"420000";"34.0";"2";"1";"Batignolles (17ème).  Appartement 2 pièces 34 m² avec chambre, salon, cuisine us, wc séparés, salle de bains séparée. Vendu libre ou occupé en meublé actuellement (bail du locataire se termine le 12...";"ventes";"appartements";"Pap";"Paris";"75017"
"490000";"52.0";"3";"2";"Nous quittons la région et mettons donc en vente notre appartement T3 de 52,25m², qui a été notre résidence principale durant quatre ans.  L'appartement se situe passage Penel, dans le quartier...";"ventes";"appartements";"Pap";"Paris";"75018"
"649000";"62.0";"3";"2";"Dans  la belle résidence moderne (années 80) située Rue du Rendez-vous (Paris 75012), appartement 2/3 pièces (62 m2). Immeuble sécurisé avec couple de gardiens.  - Appartement au 1er étage avec...";"ventes";"appartements";"Pap";"Paris";"75012"
"735000";"85.0";"4";"3";"4 pièces (3 chambres )  85 m²  Rue des Lyanes. 75020  Appartement de standing 85m2 . tous commerces ,écoles , transports, à proximité Calme, ensoleillé , sur grand Parc sans vis-à-vis (pour chambres...";"ventes";"appartements";"Pap";"Paris";"75020"
"199000";"19.0";"1";"";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à...";"ventes";"appartements";"Pap";"Paris";"75010"
"570000";"36.0";"2";"1";"Deux pièces très lumineux exposé plein sud, rénové avec architecte au dernier étage – Marais Enfants-Rouges  Au cœur du Marais, secteur Enfants-Rouges / Arts et Métiers, à deux pas de la rue de...";"ventes";"appartements";"Pap";"Paris";"75003"
"360000";"30.0";"1";"";"Idéal pour un étudiant ou un cadre comme pied à terre parisien.  Quartier Pernety, un secteur très agréable du 14ᵉ arrondissement, vivant et bien pourvu en commodités quotidiennes et loisirs. A...";"ventes";"appartements";"Pap";"Paris";"75014"
"635000";"68.0";"3";"2";"Un cadre de vie idéal pour un couple ou une famille avec enfants.  Dans le quartier recherché et convivial de Bobillot / Butte-aux-Cailles, à proximité des écoles, commerces, espaces verts et...";"ventes";"appartements";"Pap";"Paris";"75013"
"1690000";"132.0";"5";"3";"À vendre – Appartement 5 pièces de 132 m² – Immeuble de haut standing – Paris 16ᵉ (Rue Dufrénoy)  Prix : 1 690 000 Eu  Étage : 5ᵉ avec ascenseur  Usage mixte : habitation ou professionnel (avocat,...";"ventes";"appartements";"Pap";"Paris";"75016"
"998000";"66.0";"3";"2";"3 pièces quartier Hôtel de Ville - Paris 4.  Dans le quartier St-Merry proche métro Hôtel de Ville, ce 3 pièces de 66,27 m2 est très bien agencé sans perte d'espace.  Il a toutes les commodités et...";"ventes";"appartements";"Pap";"Paris";"75004"
"1180000";"89.0";"3";"2";"Duplex 3 pièces (possible 4) 88,5 m² – Marais / Place des Vosges.  À deux pas de la Place des Vosges, au cœur du Marais, superbe duplex de 88.5 m² entièrement refait à neuf à l'été 2025 avec fenêtres...";"ventes";"appartements";"Pap";"Paris";"75004"
"1030000";"84.4";"5";"3";"À VENDRE – Paris 5ᵉ – Rue Claude-Bernard Appartement familial de charme – 5 pièces – 84,40 m² Prix : 1 030 000 € 12 203 €/m² Idéalement situé au cœur du 5ᵉ arrondissement, à proximité immédiate...";"ventes";"appartements";"Pap";"Paris";"75005"
"450000";"22.0";"1";"";"Studio de standing situé dans le 6ème arrondissement, en plein cœur du quartier historique de la Monnaie. Il se trouve à proximité de toutes les commodités (métro Odéon et commerces à 3 min à pied)...";"ventes";"appartements";"Pap";"Paris";"75006"
"295000";"25.0";"1";"";"À deux pas du métro École Militaire - emplacement exceptionnel.  Idéalement situé au cœur du quartier prisé du Gros Caillou, dans le 7ᵉ arrondissement de Paris, ce studio de 25 m² vous offre un cadre...";"ventes";"appartements";"Pap";"Paris";"75007"
"240000";"12.0";"1";"";"Rare - Studio étudiant au calme, boulevard St-Germain, à deux pas de Sciences-Po, des Beaux-Arts, de Penninghen ou La Sorbonne. Emplacement exceptionnel au coeur de la vie parisienne, boulevard...";"ventes";"appartements";"Pap";"Paris";"75007"
"1690000";"145.0";"5";"3";"Paris 7e – Daniel Lesueur.  Dans un immeuble de 1924 entretenu et doté d’une gardienne à demeure avec accès sécurisé par interphone, ce bien de 145 m² se situe dans un environnement à la fois central...";"ventes";"appartements";"Pap";"Paris";"75007"
"395000";"32.0";"2";"2";"**Logement neuf, dans petite copropriété - Clé en main**. Frais de notaire réduit Chaleureux 2 pièces de 32 m2 au cœur du 12eme arrondissement de paris. Situé à 50m du métro Montgallet et Diderot a...";"ventes";"appartements";"Pap";"Paris";"75012"
"415000";"43.0";"2";"1";"Très proche du métro et de toutes commodités À 10mn à pied du Sacré Cœur Appartement 2 pièces Avec accès sur les jardins de la copropriété (TABLE ET CHAISES OK)- appartement traversant et lumineux (...";"ventes";"appartements";"Pap";"Paris";"75018"
"480000";"38.0";"2";"1";"Dans bel immeuble,  appartement 2 pièces 37,10 m² / Rez-de-chaussée / sur 2 niveaux / seul dans une entrée privative / idéalement situé / hauteur sous plafond de 3,50 m / jamais habité . Limite 5ᵉ,...";"ventes";"appartements";"Pap";"Paris";"75013"
"1195000";"110.0";"5";"3";"Situé au cœur du quartier des Grands Boulevards, du Faubourg Saint-Denis et de ses commerces, l’appartement se trouve à 3 minutes à pied des métros Bonne Nouvelle et Strasbourg Saint-Denis (lignes...";"ventes";"appartements";"Pap";"Paris";"75010"
"350000";"34.0";"1";"";"Rue de la Grange Aux Belles, entre République et Colonel Fabien, à 2 min du Canal St -Martin. Appartement **lumineux et calme** au 5ème étage sans ascenseur de 34 m2.  1 pièce de 23 m2, 1 cuisine...";"ventes";"appartements";"Pap";"Paris";"75010"
"85000";"8.1";"1";"";"Studio 8,10 m² - 21,90 m³ - Immeuble Haussmannien Métro Nation (proches Grandes Écoles, commerces) en face de l'annexe université Sorbonne.   **Studette entièrement meublée** : cuisinette...";"ventes";"appartements";"Pap";"Paris";"75012"
"279000";"27.88";"1";"";"Paris 12e – Bel-Air. **Studio très lumineux – plein sud** – 4ᵉ et dernier étage avec ascenseur.  Dans le quartier recherché de Bel-Air, à seulement 5 minutes du métro Line 6, charmant studio...";"ventes";"appartements";"Pap";"Paris";"75012"
"849000";"58.0";"2";"1";"**Magnifique appartement avec AUTORISATION de LOCATION SAISONNIÈRE 365 J/AN – Paris centre. Un produit UNIQUE sur le marché parisien, au charme rare.**  **En plein cœur de Paris, découvrez ce bien,...";"ventes";"appartements";"Pap";"Paris";"75012"
"532000";"65.0";"3";"2";"Paris 13 ème – Quartier Jeanne d'Arc.  Dans une résidence des années 1960 bien entretenue de 8 étages, calme, sécurisée, conviviale, accessible aux personnes à mobilité réduite, ce bien au 3 ème...";"ventes";"appartements";"Pap";"Paris";"75013"
"680000";"79.0";"3";"2";"Au 10e et dernier étage d'un immeuble des années 1970 bien entretenu, cet appartement traversant de 79 m² bénéficie d'une lumière exceptionnelle grâce à sa double exposition sud-est / nord-ouest et...";"ventes";"appartements";"Pap";"Paris";"75014"
"240000";"19.61";"1";"";"Studio de 19,61 m² Carrez, dans le 14e arrondissement de Paris, au sein d'un immeuble bien entretenu, sécurisé et avec un gardien.  Le bien se compose d'une pièce principale lumineuse avec grande...";"ventes";"appartements";"Pap";"Paris";"75014"
"329000";"38.2";"2";"1";"A 5 min à pied de la gare Montparnasse, rue Dulac (15ème), métro Pasteur.  **appartement 2/3 entièrement rénové**, rez-de-chaussée traversant sur rue très calme et sur cour. Cuisine équipée avec...";"ventes";"appartements";"Pap";"Paris";"75015"
"765000";"49.8";"3";"1";"Rue Dauphine, quartier de la Monnaie. Charmant appartement 3 pièces situé au deuxième étage d’une petite copropriété. **En très bon état**, il se compose d’une salle à manger, d’un séjour lumineux...";"ventes";"appartements";"Pap";"Paris";"75006"
"415000";"45.04";"2";"1";"**Beau 2 pièces** de 45,04 m² (loi Carrez), **rénové, aucun travaux à prévoir**. Appartement **lumineux, bien agencé (exposition sud-est), au calme, sans vis-à-vis**, au 3ᵉ étage avec 2 ascenseurs.";"ventes";"appartements";"Pap";"Paris";"75020"
"898000";"75.0";"4";"3";"Foyer du bonheur, en plein cœur du village, Abbesses Montmartre à Paris, très calme, traversant, 4 pièces, ensoleillé, sans vis-à-vis, 3 chambres, salon salle à manger, cuisine américaine, salle de...";"ventes";"appartements";"Pap";"Paris";"75018"
"430000";"41.0";"2";"1";"Au Coeur de Paris 15, Quartier  Convention, animé, tous commerces, marché bi-hebdomadaire, cinémas.  Appartement parisien de 2 pièces , rénové. Séjour et chambre à coucher avec parquet ancien en bon...";"ventes";"appartements";"Pap";"Paris";"75015"
"497000";"48.2";"2";"1";"Bel appartement, idéal pied-à-terre parisien, entièrement refait avec des prestations haut de gamme. Aucun travaux à prévoir. Situé au 6ᵉ étage, il bénéficie d'une belle orientation, d'un calme...";"ventes";"appartements";"Pap";"Paris";"75015"
"455000";"53.0";"3";"2";"Quartier parc Gorges Brassens proche commerces et écoles. Appartement 3 pièces avec une grande cuisine dînatoire, deux chambres, un salon (possible 3ème chambre), pas de travaux à prévoir. Au second...";"ventes";"appartements";"Pap";"Paris";"75015"
"350000";"36.34";"2";"1";"Rue du Hameau, dans un quartier très agréable, à 6 minutes de marche du Palais des Expositions de la Porte de Versailles, appartement de 2 Pièces pour une surface Carrez de 36,34 m2, comprenant un...";"ventes";"appartements";"Pap";"Paris";"75015"
"2050000";"164.0";"6";"3";"Paris 16e - Idéalement situé à proximité de l'avenue Henri Martin et du Flandrin, cet appartement propose une vaste entrée, une grande pièce de réception de 47 m2, une cuisine dinatoire séparée, une...";"ventes";"appartements";"Pap";"Paris";"75016"
"760000";"69.1";"4";"2";"Appartement familial très agréable dans une résidence calme**. 2ᵉ étage sans ascenseur. Cuisine entièrement équipée Suite parentale avec salle de bains & wc 1 chambre avec placards Salle de douche &...";"ventes";"appartements";"Pap";"Paris";"75016"
"475000";"60.0";"3";"2";"Situé au 2ᵉ étage d'un immeuble bien entretenu récemment ravalé, cet appartement traversant Est-Ouest, entièrement sur cour, offre un calme absolu et une belle luminosité tout au long de la journée.";"ventes";"appartements";"Pap";"Paris";"75018"
"191500";"21.19";"1";"";"Agences et chasseurs merci de vous abstenir, cette annonce se destine exclusivement aux particuliers.  Dans un bon immeuble ancien de la rue Doudeauville, quartier Château Rouge, au cinquième étage...";"ventes";"appartements";"Pap";"Paris";"75018"
"100000";"10.0";"1";"";"Studette meublée, très claire, avec salle d'eau indépendante ( wc et douche) 6 eme étage sur 6 Placards sur mesure Fenêtre double vitrage du 2022, ballon eau chaude neuf  juin 2025. Métro , commerces...";"ventes";"appartements";"Pap";"Paris";"75018"
"1730000";"151.0";"6";"4";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la...";"ventes";"appartements";"Pap";"Paris";"75002"
"252000";"33.12";"2";"1";"Paris 18ème, Porte de Saint-Ouen, bel appartement 2 pièces, refait à neuf de 33,12 m2 au 5ème étage sans ascenseur. Exposition Sud-Ouest, au calme, sur cour. Entrée, placard. Cuisine ouverte...";"ventes";"appartements";"Pap";"Paris";"75018"
"650000";"64.0";"3";"2";"À vendre, très bel appartement 3 pièces situé rue Marcadet, à proximité immédiate du métro Guy Môquet, dans un quartier vivant et recherché du 18ᵉ arrondissement de Paris.  D’une surface de 63,9 m²...";"ventes";"appartements";"Pap";"Paris";"75018"
"335000";"35.1";"2";"1";"Cité Pilleux.  Voie Privée sécurisée, piétonne, ensoleillée, fleurie; ancienne cité d'artisans ayant gardé  son caractère ""vieux Paris"". **Très calme et très rare**.   Proximité métro La Fourche ...";"ventes";"appartements";"Pap";"Paris";"75018"
"198000";"23.51";"1";"";"Idéal investisseur, étudiant,  jeune couple ou retraité. Agences s'abstenir : annonce réservée aux particuliers.  LE STUDIO Situé au 1ᵉʳ étage avec vue dégagée sur jardin (non accessible). Rénové en...";"ventes";"appartements";"Pap";"Paris";"75018"
"510000";"41.0";"3";"1";"Au coeur du quartier vivant et commerçant de Montmartre, au premier étage d'un immeuble pierre de taille, appartement traversant de 41 m2. Composé d'un séjour/salle à manger lumineux de 20 m2,...";"ventes";"appartements";"Pap";"Paris";"75018"
"334620";"29.0";"2";"1";"Nous vous présentons un appartement T2 **entièrement refait à neuf situé au dernier étage ,  qui se trouve dans un immeuble qui a été entièrement rénové, bénéficiant d'une façade qui a été...";"ventes";"appartements";"Pap";"Paris";"75019"
"328000";"46.2";"2";"1";"2 pièces de 46 m². Agréable, lumineux et calme. exposé SUD. Paris 19 -ème. 3 ème étage avec ascenseur.  Les points forts : • Exposition plein SUD : Une luminosité optimale garantie toute la journée (...";"ventes";"appartements";"Pap";"Paris";"75019"
"368000";"36.36";"2";"1";"Deux pièces, situé rue de Nantes à 60 m du canal de l’Ourcq, très calme, se trouve sur l’arrière au 1er étage. Avec une façade de type haussmannien, l’immeuble a fait l’objet de nombreux travaux de...";"ventes";"appartements";"Pap";"Paris";"75019"
"330000";"27.0";"2";"1";"**Super Joli 2 pièces, 27 m2, très bien agencé et refait à neuf par décorateur **  Dans une cour arborée de la VILLA DE L ERMITAGE , quartier Jourdain Pyrénées Gambetta. 1ᵉʳ étage sans vis-à-vis donc...";"ventes";"appartements";"Pap";"Paris";"75020"
"615000";"61.0";"3";"2";"**3 pièces lumineux avec balcon** – Immeuble récent – Calme sur jardin – Paris, 20e arrondissement. Entre Saint-Fargeau et La Campagne à Paris, dans un immeuble  livré en 2015, appartement 3 pièces...";"ventes";"appartements";"Pap";"Paris";"75020"
"479000";"47.0";"3";"2";"Nous avons passé de très belles années dans ce 3 pièces situé dans une petite rue calme entre la place Gambetta et le cimetière du Père Lachaise. **Très lumineux** (double exposition...";"ventes";"appartements";"Pap";"Paris";"75020"
"329000";"38.2";"2";"1";"A 5 min à pied de la gare Montparnasse, rue Dulac (15ème), métro Pasteur.  **appartement 2/3 entièrement rénové**, rez-de-chaussée traversant sur rue très calme et sur cour. Cuisine équipée avec...";"ventes";"appartements";"Pap";"Paris";"75015"
"695000";"63.0";"3";"2";"Paris 17, à la lisière de Neuilly-sur-Seine, au sein d’un immeuble semi récent, de bon standing, appartement de 3 pièces de 63 m2 loi carrez. Au 3ème étage par ascenseur, le plan comprend une entrée,...";"ventes";"appartements";"Pap";"Paris";"75017"
"359000";"32.0";"2";"1";"Appartement  de 32m² + combles aménagés de 8m², calme et lumineux dans une rue piétonne au cœur de Paris. Très bien desservi par les transports en commun. Il se compose d'une grande pièce avec...";"ventes";"appartements";"Pap";"Paris";"75003"
"580000";"70.0";"3";"2";"3 pièces – 70 m² – **Terrasse sur jardin surélevé – Calme** absolu – Paris 20ᵉ Gambetta.  Très bel appartement de 3 pièces au 1er étage sur 5 avec ascenseur, dans une petite copropriété très bien...";"ventes";"appartements";"Pap";"Paris";"75020"
"350000";"32.0";"2";"1";"Situé en plein coeur du très charmant quartier des buttes Chaumont et à quelques mètres seulement du parc, cet appartement de deux pièces allie le charme parisien au calme d'une vue sur cour. ...";"ventes";"appartements";"Pap";"Paris";"75019"
"1010000";"80.0";"4";"2";"Appartement 4 pièces de 80 m², rue du Chemin Vert,  4ᵉ étage, ascenseur. **Bel appartement familial**, situé au 4ᵉ étage avec ascenseur d’un immeuble bien entretenu.   Descriptif : •	Salon – salle à...";"ventes";"appartements";"Pap";"Paris";"75011"
"190000";"14.26";"1";"";"Le studio se situe au 2ᵉ étage d'un immeuble ancien, sans ascenseur, très bien entretenu et donne sur une cour intérieure. **Il est donc au calme. Son état général est impeccable**. Les peintures...";"ventes";"appartements";"Pap";"Paris";"75003"
"66000";"7.0";"1";"1";"Rue de Maubeuge, dans un très bel immeuble pierre de taille, au dernier étage avec ascenseur, une chambre classée en G et en bon état général. Libre de toute location. Une pièce avec coin cuisine et...";"ventes";"appartements";"Pap";"Paris";"75009"
"926000";"85.09";"5";"3";"Appartement traversant de 4/5 pièces à la limite du 3e arrondissement, donnant sur la rue de Lancry et sur une cour végétalisée. Rénové en 2019, l'appartement de 85,09 m² en loi Carrez (87,18 m² au...";"ventes";"appartements";"Pap";"Paris";"75010"
"390000";"32.65";"2";"1";"Cet appartement de 2 pièces se trouve au 1er étage d'un immeuble ancien sans ascenseur, très bien entretenu. **Il est en excellent état**. Le séjour et la chambre à coucher donnent sur une rue...";"ventes";"appartements";"Pap";"Paris";"75003"
"395000";"35.0";"2";"1";"Situé rue du Chemin Vert dans le 11ᵉ arrondissement de Paris, ce deux pièces de  35 m² se trouve au premier étage sur cinq d'une copropriété propre et bien tenue et donne sur une cour intérieure, au...";"ventes";"appartements";"Pap";"Paris";"75011"
"1110000";"115.58";"5";"3";"Situé Boulevard Soult, en face d'un parc, proche des transports en commun et des commerçants. Ce bien est composé de **2 appartements mitoyens** situés au 3eme étage sur 5, avec ascenseur, sur un...";"ventes";"appartements";"Pap";"Paris";"75012"
"1540000";"112.4";"5";"4";"Terrasse plein ciel au soleil. **Très rare à Paris 12ᵉ.**  Luminosité exceptionnelle. Résidence calme, récente, sécurisée, arborée, très bien entretenue avec ascenseur, gardien, local poussettes et...";"ventes";"appartements";"Pap";"Paris";"75012"
"415000";"45.04";"2";"1";"**Beau 2 pièces** de 45,04 m² (loi Carrez), **rénové, aucun travaux à prévoir**. Appartement **lumineux, bien agencé (exposition sud-est), au calme, sans vis-à-vis**, au 3ᵉ étage avec 2 ascenseurs.";"ventes";"appartements";"Pap";"Paris";"75020"
"415000";"43.0";"2";"1";"Très proche du métro et de toutes commodités À 10mn à pied du Sacré Cœur Appartement 2 pièces Avec accès sur les jardins de la copropriété (TABLE ET CHAISES OK)- appartement traversant et lumineux (...";"ventes";"appartements";"Pap";"Paris";"75018"
"1300000";"135.0";"6";"3";"Buttes- Chaumont/Laumiere; très beau 6 pièces impeccable dans bel immeuble haussmanien. Parquet moulures cheminées; PLAN PARFAIT. Entrée + entrée de service . triple living ; Trois chambres  .";"ventes";"appartements";"Pap";"Paris";"75019"
"210000";"14.0";"2";"1";"Studette dans  9e arrondissement très bien située : refaite à neuf en 2019 et entièrement rafraîchie en mars 2026. Dans une petite copropriété saine, en rez-de-chaussée   bonne exposition et donnant...";"ventes";"appartements";"Pap";"Paris";"75009"
"470000";"45.0";"2";"1";"Dans un quartier vivant et bien desservi, à proximité immédiate de tous commerces de bouche, d'artisans et de grandes enseignes, du marché de la rue Lecourbe, appartement très lumineux entièrement...";"ventes";"appartements";"Pap";"Paris";"75015"
"379000";"40.0";"2";"1";"Au cœur du quartier dynamique du pont de Flandre, sur le quai de la Gironde, au 3ᵉ étage d'une copropriété très bien tenue avec ascenseur et gardien, ce 2 pièces moderne de 40 m² a été entièrement...";"ventes";"appartements";"Pap";"Paris";"75019"
"460000";"53.0";"2";"1";"Au pied du métro Tolbiac, charmant 2 pièces dans l'ancien avec cachet. Situé au 1er étage d'un immeuble ancien bien entretenu, cet appartement de deux pièces offre le charme de l'ancien (belles...";"ventes";"appartements";"Pap";"Paris";"75013"
"480000";"38.0";"2";"1";"Dans bel immeuble,  appartement 2 pièces 37,10 m² / Rez-de-chaussée / sur 2 niveaux / seul dans une entrée privative / idéalement situé / hauteur sous plafond de 3,50 m / jamais habité . Limite 5ᵉ,...";"ventes";"appartements";"Pap";"Paris";"75013"
"252000";"12.07";"1";"";"Produit **rare** ! Très belle adresse, quartier coup de cœur. Idéale pour un pied-à-terre ou pour étudiant/étudiante. Studio de 12,07 m² au calme en plein quartier Jardin de Luxembourg et à deux pas...";"ventes";"appartements";"Pap";"Paris";"75006"
"1900000";"170.0";"4";"3";"Appartement spacieux de 170 m² situé dans le 8ᵉ arrondissement, à deux pas du Parc Monceau et à environ 15 minutes à pied des Champs-Élysées. Dans un immeuble haussmannien avec ascenseur et gardien,...";"ventes";"appartements";"Pap";"Paris";"75008"
"387000";"47.3";"2";"1";"**Proximité métro Glacière et parc Montsouris**  Charmant appartement situé en rez-de-chaussée et d'une surface habitable de 47m2, il se compose d'une entrée principale, un bel espace de vie lumineux...";"ventes";"appartements";"Pap";"Paris";"75014"
"299000";"29.0";"2";"1";"Confortable studio **vendu studio meublé**, refait à neuf par un architecte décorateur de 29 m2, très calme, lumineux, au deuxième étage avec ascenseur, vue dégagée, immeuble de bon standing situé...";"ventes";"appartements";"Pap";"Paris";"75012"
"450000";"42.0";"2";"1";"[SOUS COMPROMIS]  Paris 13e – Limite 5e. A 10 minutes à pied du Jardin des Plantes.  Bel appartement lumineux de 42m², en très bon état situé au 7ème d'un immeuble sécurisé de 8 étages avec...";"ventes";"appartements";"Pap";"Paris";"75013"
"272000";"27.0";"2";"1";"Rue de Charenton, entre Reuilly Diderot et Gare de Lyon, un **joli petit loft atypique** de 25,16 m² Carrez et 29,16 m² de surface au sol dont 3,2m² escalier intérieur, orienté sud / sud-ouest avec...";"ventes";"appartements";"Pap";"Paris";"75012"
"690000";"60.5";"3";"2";"Rue de Condé, adresse d'exception dans un élégant immeuble du 17ème siècle En plein cœur du beau 6ème arrondissement dans un quartier historique à la fois résidentiel et commerçant. Idéal...";"ventes";"appartements";"Pap";"Paris";"75006"
"748000";"75.5";"3";"2";"Très bel appartement lumineux et traversant avec vue dégagée, situé dans une rue calme du 14ᵉ arrondissement, à proximité des stations Alésia et Plaisance, des commerces, écoles et hôpitaux.  Au 1ᵉʳ...";"ventes";"appartements";"Pap";"Paris";"75014"
